reportId,peaceWatcherId,time,latitude,longitude,heardWords,citizenId,score
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,715621,73
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,391800,40
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,592900,51
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,514671,38
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,74558,49
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,471123,48
712486,633643,2022-02-17 19:57:17,0.011173730807469973,0.5143309237789186,vegetables,830221,37
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,638173,63
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,665969,71
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,107944,24
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,627560,0
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,874892,2
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,117389,74
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,880785,55
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,269070,34
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,445804,65
17150,723323,2022-05-06 15:20:24,1.7971617556903805,0.18742152019520852,road|world,388709,30
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,675404,11
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,235093,20
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,644445,43
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,438414,49
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,958841,43
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,657838,56
655660,422764,2022-04-21 08:05:49,0.808596950433957,0.717042546239804,wonderful|table|wonderful|school|super|awesome|fantastic|food|food,14613,25
936924,160868,2022-01-22 00:38:50,1.1286331265235763,1.7841699409190197,amazing|wonderful|house|great|super|food|table|vegetables|bed,586506,5
